mode,runs,final_altruist_mean,final_selfish_mean,final_prey_mean,selfish_extinction_rate,selfish_extinction_step_mean,selfish_absorbing_extinction_step_mean,selfish_near_zero_tail_mean,coexistence_tail_mean,predator_prey_coexistence_tail_mean,tail_altruist_mean,tail_selfish_mean,tail_prey_mean,tail_altruist_frequency_mean,mean_transfers_per_tick
altruist_only,10,423.9,0.0,4848.2,1.0,177.4,177.4,1.0,1.0,1.0,423.93363636363637,0.0,4879.64,1.0,715.5718
any_predator,10,0.0,257.4,5470.2,0.0,nan,nan,0.0,0.06545454545454546,1.0,0.8236363636363636,262.56863636363636,5231.71,0.0028943798568600515,56.18240000000001
